"nome", "sobrenome", "email", "datanascimento", "genero", "tiposanguineo", "endereco", "cidade", "estado", "cep","cpf", "frkPlanoSaude"
"Vit�ria", "Lima", "VitoriaCarvalhoLima@dayrep.com", "8/23/1989", "F", "A+", "Rua Jo�o Alves Macedo 1686", "Guaratinguet�", "SP", "12505-060","01481746553", "112"
"Raissa", "Carvalho", "RaissaAlvesCarvalho@cuvox.de", "1/1/1951", "F", "B+", "Rua Santina Le�o 122", "Campina Grande", "PB", "58102-078","95682828909", "45"
"Tha�s", "Castro", "ThaisCavalcantiCastro@rhyta.com", "5/13/1994", "F", "A+", "Avenida Dalvo de Freitas Luiz 1202", "Araraquara", "SP", "14801-771","29323775231", "986"
"Yasmin", "Melo", "YasminCavalcantiMelo@gustr.com", "4/9/1940", "F", "A+", "Rua Oper�rio Sebasti�o 1686", "Divin�polis", "MG", "35500-330","48471540371", "895"
"Igor", "Ribeiro", "IgorAlmeidaRibeiro@teleworm.us", "6/12/1972", "M", "B+", "Estrada dos Lavradores 460", "Queimados", "RJ", "26349-390","28033730170", "956"
"Erick", "Alves", "ErickSousaAlves@einrot.com", "6/13/1994", "M", "A+", "Alameda Si�o 1975", "Santana de Parna�ba", "SP", "06543-095","83540906045", "45"
"Giovana", "Barros", "GiovanaSousaBarros@fleckens.hu", "12/15/1993", "F", "O+", "Rua Vaz Caminha 1264", "Sarandi", "PR", "87113-140","64477404611", "956"
"Leonor", "Azevedo", "LeonorAraujoAzevedo@fleckens.hu", "9/9/1964", "F", "O+", "Rua Campo Mour�o 362", "Camb�", "PR", "86188-320","79871012730", "323"
"Livia", "Fernandes", "LiviaCardosoFernandes@teleworm.us", "11/18/1953", "F", "O+", "Rua Ibitinga 983", "Natal", "RN", "59135-390","02518855343", "98"
"Larissa", "Carvalho", "LarissaAzevedoCarvalho@einrot.com", "7/3/1980", "F", "A+", "Rua Padre Cacique 1026", "Alvorada", "RS", "94820-240","07380119400", "112"
"Melissa", "Cardoso", "MelissaCarvalhoCardoso@dayrep.com", "1/6/1966", "F", "O+", "Rua AZ - 049 255", "Brusque", "SC", "88354-173","89410132088", "45"
"Isabelle", "Barbosa", "IsabelleCarvalhoBarbosa@gustr.com", "9/17/1992", "F", "O-", "Rua Agenor Pinto 1856", "Campo Grande", "MS", "79017-054","38877204311", "231"
"Emily", "Ferreira", "EmilyDiasFerreira@einrot.com", "12/30/1977", "F", "A+", "Jardim Babil�nia 336", "Salvador", "BA", "41250-175","74620320668", "231"
"Camila", "Cavalcanti", "CamilaAlvesCavalcanti@fleckens.hu", "9/22/1987", "F", "O+", "Quadra QS 10 1289", "Riacho Fundo", "DF", "71825-100","53347370147", "231"
"Ana", "Pereira", "AnaSilvaPereira@armyspy.com", "6/13/1977", "F", "O+", "Rua 118 921", "Fortaleza", "CE", "60744-570","41291907920", "389"
"Beatriz", "Goncalves", "BeatrizDiasGoncalves@dayrep.com", "8/10/1962", "F", "O+", "Rua Olavo Bilac 234", "Porto Velho", "RO", "78903-230","01204972478", "956"
"Diogo", "Castro", "DiogoSantosCastro@cuvox.de", "9/6/1961", "M", "A+", "Rua Bernardino Silva 25", "Tubar�o", "SC", "88702-510","93938669969", "145"
"Diego", "Almeida", "DiegoPereiraAlmeida@fleckens.hu", "5/22/1970", "M", "O+", "Rua Ortivo Guedes 1801", "Rio de Janeiro", "RJ", "20250-190","56576950624", "956"
"Kaua", "Dias", "KauaCorreiaDias@cuvox.de", "11/11/2002", "M", "B+", "Rua Doutor Greg�rio Costa 861", "Pindamonhangaba", "SP", "12400-430","56999687250", "98"
"Kauan", "Ferreira", "KauanOliveiraFerreira@armyspy.com", "9/11/1939", "M", "A+", "Rua W-Vinte e Tr�s 1077", "Maca�", "RJ", "27925-160","20235352551", "323"
"Leonardo", "Fernandes", "LeonardoCarvalhoFernandes@teleworm.us", "11/20/1960", "M", "B+", "Rua Congonhas 1945", "Patos de Minas", "MG", "38701-210","88796405937", "98"
"Mariana", "Correia", "MarianaGoncalvesCorreia@einrot.com", "3/4/1994", "F", "AB+", "Rua Almirante Barroso 322", "Mau�", "SP", "09310-030","59894067387", "895"
"Ot�vio", "Silva", "OtavioPintoSilva@einrot.com", "6/26/1934", "M", "B+", "Travessa C 1904", "Cuiab�", "MT", "78050-325","73357567075", "45"
"Rafaela", "Costa", "RafaelaAlvesCosta@teleworm.us", "6/19/1972", "F", "B+", "Rua Inglaterra 167", "Caucaia", "CE", "61642-240","79065934995", "145"
"Lu�s", "Goncalves", "LuisLimaGoncalves@fleckens.hu", "7/11/1942", "M", "O+", "Avenida de Contorno 1125", "Maracana�", "CE", "61939-160","76294039762", "345"
"Melissa", "Pereira", "MelissaAlvesPereira@cuvox.de", "3/8/1967", "F", "B+", "Vila Cento e Vinte Dois 1015", "Bel�m", "PA", "66623-767","63300057108", "98"
"Kaua", "Fernandes", "KauaPereiraFernandes@superrito.com", "10/1/1997", "M", "A+", "Beco S�o Jo�o 1215", "Manaus", "AM", "69063-620","62195865571", "145"
"Anna", "Cunha", "AnnaDiasCunha@jourrapide.com", "8/9/1957", "F", "A+", "Rua Attilio Jo�o Bortolotti 1325", "S�o Jos� dos Pinhais", "PR", "83070-030","80050814303", "98"
"Cau�", "Rodrigues", "CauaPintoRodrigues@teleworm.us", "12/8/1991", "M", "O-", "Rua Desembargador Juarez Mattos Barreto Bezerra de Menezes 185", "S�o Paulo", "SP", "08130-450","61865920223", "98"
"Sarah", "Dias", "SarahOliveiraDias@armyspy.com", "10/29/1991", "F", "A+", "Avenida Sete An�es 732", "Nova Igua�u", "RJ", "26245-160","32700259980", "956"
"J�lio", "Pereira", "JulioDiasPereira@superrito.com", "9/29/1943", "M", "A+", "Rua Ana Cintra 535", "Campo Grande", "MS", "79023-421","24382943450", "323"
"Clara", "Cavalcanti", "ClaraAlvesCavalcanti@teleworm.us", "5/8/1939", "F", "O+", "Rua Artur de Barros 75", "Campo Grande", "MS", "79106-072","41368946003", "895"
"Leonor", "Correia", "LeonorBarrosCorreia@jourrapide.com", "3/21/1960", "F", "A-", "Rua Jos� Bonif�cio 1001", "Goi�nia", "GO", "74865-180","19971095653", "122"
"Vinicius", "Rocha", "ViniciusRibeiroRocha@superrito.com", "9/27/1941", "M", "A+", "Travessa Can�rio 1924", "Itabira", "MG", "35904-014","77120858033", "956"
"Davi", "Alves", "DaviCostaAlves@armyspy.com", "4/5/1965", "M", "O-", "Rua 17 1343", "Aragua�na", "TO", "77818-235","18843550802", "956"
"Giovana", "Cavalcanti", "GiovanaMartinsCavalcanti@rhyta.com", "11/27/1955", "F", "O+", "Avenida Bar�o do Indai� 212", "Belo Horizonte", "MG", "31360-710","09731005161", "98"
"Lavinia", "Cardoso", "LaviniaSousaCardoso@dayrep.com", "9/17/1966", "F", "O+", "Rua Oito 1922", "Paranava�", "PRF", "87708-570","16394566780", "91"
"Leonor", "Rocha", "LeonorCastroRocha@rhyta.com", "9/14/1995", "F", "AB+", "Rua Ernesto Kobarg 1874", "Itaja�", "SC", "88304-460","51577647238", "345"
"Andr�", "Oliveira", "AndreFernandesOliveira@superrito.com", "5/14/2002", "M", "O+", "Rua Coronel Germano de Castro 1315", "Campos dos Goytacazes", "RJ", "28030-315","29357617906", "895"
"Julia", "Rocha", "JuliaGomesRocha@dayrep.com", "12/20/1956", "F", "A+", "Avenida Rio Grande 383", "An�polis", "GO", "75134-320","08220883826", "98"
"Victor", "Pereira", "VictorAraujoPereira@gustr.com", "1/1/1974", "M", "O+", "Rua Salvador Oliveira Paes 188", "S�o Paulo", "SP", "04431-060","03233879008", "389"
"Isabella", "Barbosa", "IsabellaRodriguesBarbosa@armyspy.com", "7/31/1970", "F", "A+", "Rua Palmira Maia Costa da Silva 207", "Natal", "RN", "59139-525","87533433793", "122"
"Caio", "Pinto", "CaioFernandesPinto@teleworm.us", "5/6/1963", "M", "B+", "Rua Mizael Mendon�a 591", "Volta Redonda", "RJ", "27215-600","88314681113", "986"
"Pedro", "Silva", "PedroAlmeidaSilva@dayrep.com", "10/30/1970", "M", "O+", "Rua Ant�nio Franco 1090", "Pato Branco", "PR", "85504-200","04213823172", "145"
"Manuela", "Gomes", "ManuelaLimaGomes@superrito.com", "8/12/1961", "F", "O+", "Rua Afonso Pena 1441", "Birig�i", "SP", "16200-123","28032287264", "112"
"Arthur", "Pereira", "ArthurSousaPereira@jourrapide.com", "2/11/1974", "M", "A+", "Rua Nossa Senhora da Concei��o 1046", "Bel�m", "PA", "66923-070","82907401408", "112"
"Larissa", "Castro", "LarissaCardosoCastro@gustr.com", "1/6/1986", "F", "O+", "Quadra QNP 22 Conjunto T 1212", "Ceil�ndia", "DF", "72235-220","38722476628", "122"
"Igor", "Silva", "IgorSantosSilva@superrito.com", "8/29/1938", "M", "A+", "Travessa Jos� Prates 1786", "S�o Paulo", "SP", "02618-011","12750665345", "345"
"Vitoria", "Rodrigues", "VitoriaMartinsRodrigues@jourrapide.com", "10/31/1973", "F", "A+", "Rua Giuseppe Sassi 409", "Caxias do Sul", "RS", "95052-280","75735909975", "986"
"Lara", "Azevedo", "LaraAraujoAzevedo@cuvox.de", "3/7/1951", "F", "O+", "Pra�a Paulo Renato Crochemore 1111", "Porto Alegre", "RS", "90200-160","80200518305", "956"
"Kau�", "Souza", "KaueAzevedoSouza@dayrep.com", "9/16/1942", "M", "A+", "Rua Belo Horizonte 634", "Blumenau", "SC", "89025-001","54157087666", "323"
"Vit�r", "Melo", "VitorAlmeidaMelo@fleckens.hu", "10/10/1999", "M", "B+", "Rua Victor Graeff 1996", "Guarulhos", "SP", "07175-350","33285619350", "122"
"Fernanda", "Rodrigues", "FernandaPereiraRodrigues@armyspy.com", "1/18/2004", "F", "B+", "Travessa Santa Rosa 1080", "Campos dos Goytacazes", "RJ", "28085-670","32233933079", "956"
"Lu�s", "Santos", "LuisDiasSantos@rhyta.com", "10/27/1943", "M", "B+", "Rua Presidente Kennedy 1601", "Lages", "SC", "88504-250","39324334913", "986"
"Nicole", "Rodrigues", "NicoleMeloRodrigues@rhyta.com", "8/10/1987", "F", "B+", "Travessa C�rrego Manoel Carroceiro 406", "Recife", "PE", "52081-029","90312569866", "231"
"Cau�", "Dias", "CauaSousaDias@cuvox.de", "12/10/1943", "M", "O-", "Alameda Campinas 794", "Santana de Parna�ba", "SP", "06542-080","02612152059", "389"
"Raissa", "Silva", "RaissaCardosoSilva@dayrep.com", "2/17/1983", "F", "B+", "Rua H-076 385", "Aparecida de Goi�nia", "GO", "74936-280","34936373060", "895"
"Kauan", "Azevedo", "KauanGomesAzevedo@gustr.com", "8/29/1976", "M", "O+", "Quadra Oitenta e Nove 756", "Ananindeua", "PA", "67145-023","20617188335", "98"
"Lara", "Santos", "LaraRibeiroSantos@armyspy.com", "2/17/1965", "F", "B+", "Passagem Uni�o 1161", "Ananindeua", "PA", "67125-405","98598066915", "122"
"Livia", "Alves", "LiviaRodriguesAlves@fleckens.hu", "1/9/1967", "F", "B+", "Rua Navarro 1401", "Rio de Janeiro", "RJ", "20251-190","28328213400", "389"
"Kau�", "Sousa", "KauaMeloSousa@teleworm.us", "12/5/2003", "M", "AB-", "Alameda Jatob� 638", "Bel�m", "PA", "66830-650","40392004038", "145"
"Cau�", "Martins", "CauaGomesMartins@dayrep.com", "11/29/1950", "M", "B+", "Rua Euridice Circe Trindade 1724", "Rio de Janeiro", "RJ", "22753-660","13417914752", "145"
"T�nia", "Ferreira", "TaniaCavalcantiFerreira@gustr.com", "9/17/1954", "F", "B+", "Rua Dom Bosco 880", "S�o Paulo", "SP", "03105-020","82088527753", "231"
"Eduarda", "Melo", "EduardaAlmeidaMelo@cuvox.de", "12/2/1983", "F", "O+", "Rua Jo�o Souza Rego 3", "Salvador", "BA", "41650-730","31293390607", "112"
"Kai", "Araujo", "KaiCorreiaAraujo@jourrapide.com", "8/20/1967", "M", "A-", "Rua Valdir Santos 375", "Salvador", "BA", "40717-350","97204162030", "45"
"Livia", "Cunha", "LiviaGomesCunha@dayrep.com", "11/22/1984", "F", "B+", "Rua Professor Machado Lopes 121", "Teresina", "PI", "64048-020","82306056617", "91"
"Emily", "Pereira", "EmilyOliveiraPereira@gustr.com", "8/6/1936", "F", "B+", "Rua Doutor Ribeiro Silva 497", "S�o Jo�o Del Rei", "MG", "36300-186","42016956038", "122"
"Rafaela", "Pinto", "RafaelaMartinsPinto@fleckens.hu", "10/7/1999", "F", "B+", "Rua Remo Gianella 366", "Caxias do Sul", "RS", "95030-650","06165349650", "145"
"Vitor", "Castro", "VitorRochaCastro@gustr.com", "1/23/1935", "M", "B+", "Travessa da Estiva 83", "Rio de Janeiro", "RJ", "23530-076","16026487000", "122"
"Tha�s", "Ribeiro", "ThaisCorreiaRibeiro@cuvox.de", "1/20/1958", "F", "B+", "Rua Quatro 732", "Betim", "MG", "32556-490","48484174573", "956"
"Diego", "Cardoso", "DiegoCorreiaCardoso@jourrapide.com", "11/15/1943", "M", "A+", "Rua do Ara�� 58", "Olinda", "PE", "53060-780","60927273829", "345"
"Breno", "Alves", "BrenoAlmeidaAlves@einrot.com", "12/14/2003", "M", "O+", "Rua Alto Noroeste 950", "S�o Bernardo do Campo", "SP", "09683-020","84893208454", "895"
"Leonardo", "Ferreira", "LeonardoSantosFerreira@armyspy.com", "10/15/1968", "M", "O+", "Rua Marcelo Ghisolfe 139", "Bag�", "RS", "96407-410","36684773100", "323"
"Isabelle", "Goncalves", "IsabelleRochaGoncalves@einrot.com", "1/19/1954", "F", "A+", "Rua Doutor Heitor Blum 195", "Florian�polis", "SC", "88075-110","34960554720", "98"
"Isabella", "Gomes", "IsabellaAzevedoGomes@cuvox.de", "2/22/1996", "F", "O+", "Rua Rafael Ferreira de Lima 1989", "Colombo", "PR", "83408-518","67544697061", "98"
"Pedro", "Cavalcanti", "PedroPereiraCavalcanti@cuvox.de", "5/8/1970", "M", "B+", "Rua Geraldo Cavalhares de Bastos 1929", "Piracicaba", "SP", "13403-609","83164754132", "986"
"Pedro", "Rocha", "PedroFernandesRocha@teleworm.us", "6/13/1944", "M", "O+", "Rua Feira de Narandiba 1087", "Salvador", "BA", "41180-430","35123081712", "98"
"Beatriz", "Costa", "BeatrizSantosCosta@fleckens.hu", "4/26/1966", "F", "A+", "Rua S-070 200", "An�polis", "GO", "75096-330","99870585582", "986"
"Pedro", "Santos", "PedroCavalcantiSantos@jourrapide.com", "10/22/1948", "M", "O+", "Rua Orion 1230", "Santana de Parna�ba", "SP", "06528-060","41745801979", "112"
"Camila", "Cavalcanti", "CamilaAlvesCavalcanti@teleworm.us", "3/9/1953", "F", "A+", "Rua Noberto de Castro Nogueira 284", "Jo�o Pessoa", "PB", "58036-080","82138175162", "98"
"Giovanna", "Silva", "GiovannaMartinsSilva@teleworm.us", "10/31/1959", "F", "A+", "Rua Braz Cubas 1517", "Sorocaba", "SP", "18090-120","87463890830", "895"
"Carlos", "Lima", "CarlosAraujoLima@einrot.com", "8/7/1971", "M", "B+", "Rua Eurico Lara 194", "Alvorada", "RS", "94852-230","72116717345", "895"
"Jo�o", "Lima", "JoaoCastroLima@cuvox.de", "6/29/1975", "M", "O+", "Pra�a Centro Cultural 365", "Camb�", "PR", "86181-320","08044267228", "122"
"Larissa", "Gomes", "LarissaRibeiroGomes@rhyta.com", "12/20/1980", "F", "B+", "Rua Jorge Mascarenhas 1505", "Feira de Santana", "BA", "44023-030","57472640360", "91"
"Joao", "Ribeiro", "JoaoLimaRibeiro@einrot.com", "6/19/1971", "M", "B+", "Rua C�ndido de Azevedo 161", "Barreiras", "BA", "47807-360","14139830220", "45"
"Anna", "Martins", "AnnaLimaMartins@cuvox.de", "2/28/1981", "F", "A+", "Rua Bela Vista 21", "Manaus", "AM", "69043-670","45241208585", "389"
"Luis", "Ribeiro", "LuisLimaRibeiro@einrot.com", "12/5/1955", "M", "A+", "Travessa Sexta 307", "Itaituba", "PA", "68181-180","33728871230", "112"
"Lavinia", "Fernandes", "LaviniaGoncalvesFernandes@fleckens.hu", "8/28/1981", "F", "O+", "Avenida Martins de Barros 900", "Recife", "PEF", "50010-230","54884450051", "956"
"Tom�s", "Castro", "TomasDiasCastro@einrot.com", "12/31/1964", "M", "B+", "Rua Soldado Petr�nio Jos� dos Santos 1617", "Aracaju", "SE", "49045-840","66832155883", "345"
"Victor", "Castro", "VictorBarrosCastro@jourrapide.com", "7/14/1975", "M", "O+", "Quadra M 614", "S�o Lu�s", "MA", "65031-050","26373894193", "98"
"Emily", "Araujo", "EmilyRodriguesAraujo@cuvox.de", "5/29/1985", "F", "A+", "Rua Osvaldo Cruz 231", "Barbacena", "MG", "36200-400","68402300316", "986"
"Pedro", "Castro", "PedroCorreiaCastro@fleckens.hu", "7/28/1992", "M", "AB+", "Rua Cento e Vinte e Sete 1792", "Tim�teo", "MG", "35180-404","49354291350", "231"
"Manuela", "Cardoso", "ManuelaRibeiroCardoso@jourrapide.com", "12/19/1994", "F", "B+", "Rua Soldado-Pol�cia Militar S�rgio Zucarello 43", "Itapecerica da Serra", "SP", "06850-190","28387484911", "323"
"Joao", "Gomes", "JoaoAraujoGomes@fleckens.hu", "12/11/1954", "M", "O+", "Rua B�lgica 1912", "Ribeir�o Preto", "SP", "14075-480","37077935400", "231"
"Danilo", "Castro", "DaniloBarrosCastro@fleckens.hu", "1/27/1958", "M", "B+", "Avenida Raul Machado 668", "Jo�o Pessoa", "PB", "58011-470","60858480050", "986"
"Carlos", "Carvalho", "CarlosSousaCarvalho@rhyta.com", "10/23/1971", "M", "O+", "Rua Campina da Lagoa 1277", "Curitiba", "PR", "81830-440","59460226442", "145"
"Vit�r", "Cavalcanti", "VitorAzevedoCavalcanti@cuvox.de", "4/5/1996", "M", "O+", "Avenida Esmeraldo Gamino 709", "Alegrete", "RS", "97545-230","34148674600", "45"
"Ot�vio", "Alves", "OtavioAzevedoAlves@rhyta.com", "3/22/1967", "M", "O+", "Rua �ngelo Mingotti 1473", "S�o Paulo", "SP", "03927-330","81065175868", "145"
"Matilde", "Barbosa", "MatildeCardosoBarbosa@dayrep.com", "4/21/1975", "F", "A+", "Rua Governador Valadares 1908", "Uberaba", "MG", "38010-380","19954637524", "345"
"Yasmin", "Silva", "YasminRochaSilva@einrot.com", "7/13/1969", "F", "A+", "1� Travessa Boa Vista 1168", "Salvador", "BA", "41211-047","34727564971", "91"
"Vinicius", "Ribeiro", "ViniciusSilvaRibeiro@fleckens.hu", "10/23/1990", "M", "B+", "Rua Concei��o da Para�ba 1505", "S�o Paulo", "SP", "05731-290","76233361184", "389"
"Maria", "Sousa", "MariaLimaSousa@gustr.com", "11/2/1941", "F", "O+", "Estrada dos Eucaliptos 780", "Atibaia", "SP", "12952-515","49440969415", "91"
"Diego", "Goncalves", "DiegoCardosoGoncalves@einrot.com", "10/20/1958", "M", "B+", "Rua Alto das Oliveiras 1044", "Fortaleza", "CE", "60832-620","32583456270", "986"
"Gabrielly", "Fernandes", "GabriellyFerreiraFernandes@gustr.com", "2/26/1942", "F", "O+", "Rua Jos� Gonzaga Regina Lima 996", "S�o Jos�", "SC", "88102-250","83181138967", "91"
"Emilly", "Rocha", "EmillyGoncalvesRocha@rhyta.com", "6/29/1958", "F", "O+", "Rua Lopes Bastos 1027", "Mossor�", "RN", "59625-090","85146122806", "98"
"Guilherme", "Azevedo", "GuilhermeMeloAzevedo@rhyta.com", "10/30/1985", "M", "O+", "2� Travessa da Batalha 1869", "Recife", "PE", "51260-212","70286894505", "323"
"Diego", "Rodrigues", "DiegoGoncalvesRodrigues@superrito.com", "6/29/1980", "M", "O+", "Rua Jo�o Tralli 1622", "Jaboticabal", "SP", "14875-436","53193753440", "956"
"Ot�vio", "Ribeiro", "OtavioDiasRibeiro@rhyta.com", "7/17/1957", "M", "A-", "Rua Ilhas Gal�pagos 721", "Manaus", "AM", "69037-114","20755716515", "98"
"Leonor", "Castro", "LeonorCorreiaCastro@jourrapide.com", "2/17/1975", "F", "O+", "Rua Santos Dumont 1626", "Rio de Janeiro", "RJ", "20972-240","38713322249", "98"
"Renan", "Pereira", "RenanBarbosaPereira@einrot.com", "11/25/1936", "M", "B+", "Rua Vista Alegre 1936", "Paranava�", "PR", "87711-080","70884701360", "895"
"Rafaela", "Dias", "RafaelaRodriguesDias@teleworm.us", "5/12/1993", "F", "B+", "Rua Coronel Solano 1136", "Ponta Grossa", "PR", "84010-420","99685288380", "45"
"Laura", "Costa", "LauraRibeiroCosta@fleckens.hu", "5/27/1941", "F", "B+", "Rua V�rzea Seca 1503", "Campo Grande", "MS", "79086-129","38960199532", "956"
"Melissa", "Cavalcanti", "MelissaSouzaCavalcanti@armyspy.com", "4/23/1935", "F", "A+", "Rua Jos� da Silva Brasil 959", "Belo Horizonte", "MG", "30575-650","44485115020", "895"
"Martim", "Rodrigues", "MartimAlvesRodrigues@cuvox.de", "8/28/1998", "M", "B+", "Rua 19B 554", "Maracana�", "CE", "61925-490","18083045004", "345"
"Lucas", "Pereira", "LucasCavalcantiPereira@gustr.com", "10/26/1932", "M", "B+", "Rua Humberto Batochio 786", "Ja�", "SP", "17207-433","75900037274", "895"
"Emily", "Goncalves", "EmilyBarbosaGoncalves@superrito.com", "6/27/1941", "F", "A+", "Rua Arlindo Fraga de Oliveira 1216", "S�o Paulo", "SP", "05843-160","58957443118", "231"
"Luiza", "Dias", "LuizaOliveiraDias@einrot.com", "8/11/1990", "F", "B+", "Rua 2 1493", "Rio Claro", "SP", "13500-312","92408150230", "91"
"Igor", "Carvalho", "IgorCostaCarvalho@dayrep.com", "1/20/1965", "M", "O+", "Rua Paulo Biocati 280", "S�o Paulo", "SP", "08471-630","53308569493", "956"
"Kau�", "Sousa", "KaueSilvaSousa@jourrapide.com", "2/27/1942", "M", "A+", "Rua Pelotas 186", "Cruz Alta", "RS", "98040-010","26097848307", "231"
"Julia", "Souza", "JuliaCarvalhoSouza@einrot.com", "1/22/1962", "F", "O+", "Vila Santa Filomena 1377", "Jo�o Pessoa", "PB", "58010-715","49244261240", "389"
"Arthur", "Sousa", "ArthurSouzaSousa@teleworm.us", "6/22/2002", "M", "A+", "Rua Rafael Rensis 358", "S�o Paulo", "SP", "02990-367","74895385132", "986"
"Beatrice", "Alves", "BeatriceMartinsAlves@armyspy.com@g.com", "11/25/1972", "F", "A+", "Rua Dom Irineu Joffily 1197", "S�o Paulo", "SP", "03659-040","80478349912", "389"
"Evelyn", "Fernandes", "EvelynCastroFernandes@fleckens.hu", "3/11/1989", "F", "B+", "Rua Ant�nio Ribeiro 1080", "Presidente Prudente", "SP", "19034-420","28061891875", "895"
"Nicolas", "Cunha", "NicolasAzevedoCunha@gustr.com", "10/26/1961", "M", "B+", "Rua Augusto David de Moraes 958", "Curitiba", "PR", "81550-315","35761666375", "145"
"Kaua", "Araujo", "KauaSilvaAraujo@cuvox.de", "4/6/1951", "M", "B+", "Rua Assis Proc�pio dos Santos 473", "Chapec�", "SC", "89815-010","37848446697", "145"
"Jos�", "Pereira", "JoseSantosPereira@superrito.com", "10/7/1948", "M", "A+", "Servid�o Nunes Silveira 1287", "Florian�polis", "SC", "88060-221","45410600193", "956"
"Isabelle", "Santos", "IsabelleFernandesSantos@einrot.com", "10/22/1999", "F", "O+", "Rua SL - 019 235", "Brusque", "SC", "88357-203","97719318900", "112"
"Luiz", "Barros", "LuizCastroBarros@cuvox.de", "12/17/1995", "M", "AB+", "Rua Sergipe 1656", "Santa B�rbara D'Oeste", "SP", "13451-159","46477168057", "112"
"Lu�s", "Cavalcanti", "LuisMartinsCavalcanti@rhyta.com", "3/7/1978", "M", "B-", "Rua Denize Tomazetti 1987", "Santa Maria", "RS", "97070-280","24655268476", "389"
"Vinicius", "Lima", "ViniciusMartinsLima@teleworm.us", "10/29/1963", "M", "A+", "Rua �ngelo Ferracini 1456", "Jundia�", "SP", "13201-543","84181590810", "345"
"Bianca", "Almeida", "BiancaMeloAlmeida@gustr.com", "8/28/1946", "F", "B+", "Quadra Dez 225", "Juazeiro", "BA", "48908-100","75188853876", "91"
"J�lio", "Gomes", "JulioBarrosGomes@fleckens.hu", "5/4/1946", "M", "A+", "Rua Lopes Trov�o 197", "Gravata�", "RS", "94120-320","78005526083", "895"
"Lu�s", "Melo", "LuisGomesMelo@cuvox.de", "6/13/1956", "M", "O+", "Rua Corn�lio de Arzao 703", "S�o Paulo", "SP", "08140-550","66401252936", "122"
"Vit�r", "Fernandes", "VitorCastroFernandes@dayrep.com", "7/9/1986", "M", "A-", "Vila Maril�ndia 1452", "Fortaleza", "CE", "60455-030","02157062009", "231"
"Erick", "Ribeiro", "ErickAzevedoRibeiro@cuvox.de", "4/8/1990", "M", "A+", "Rua do Chimarr�o 1904", "Novo Hamburgo", "RS", "93546-160","17801713311", "145"
"Murilo", "Souza", "MuriloMeloSouza@teleworm.us", "6/17/1960", "M", "O+", "Rua das Algarobas 1815", "Juazeiro", "BA", "48901-260","27264257800", "98"
"Erick", "Ribeiro", "ErickRodriguesRibeiro@fleckens.hu", "9/24/1995", "M", "A+", "Servid�o Nilo Prazeres 25", "Itaja�", "SC", "88305-075","03063926159", "986"
"Evelyn", "Correia", "EvelynRodriguesCorreia@fleckens.hu", "12/23/1961", "F", "B+", "Rua Ant�nio Jacinto Barbosa 1274", "Avar�", "SP", "18700-605","25115927896", "956"
"Julia", "Martins", "JuliaBarrosMartins@rhyta.com", "2/13/1974", "F", "O-", "Rua Secundino Veiga 1603", "S�o Paulo", "SP", "02137-000","27402663404", "389"
"Lu�s", "Dias", "LuisMartinsDias@dayrep.com", "7/21/1964", "M", "A+", "Rua Professor Vasco de Queiroz Guimar�es 1203", "Guarulhos", "SP", "07122-220","51904550096", "45"
"Alice", "Barros", "AliceCunhaBarros@gustr.com", "1/25/1991", "F", "AB+", "Rua Manuel dos Santos Alcaide 1639", "Guarulhos", "SP", "07160-690","99052943176", "98"
"Gustavo", "Pinto", "GustavoCostaPinto@armyspy.com", "2/19/1984", "M", "O+", "Rua Bituruna 1512", "Guarapuava", "PR", "85023-080","54713710466", "98"
"Melissa", "Barbosa", "MelissaFerreiraBarbosa@cuvox.de", "7/25/1997", "F", "B+", "Largo Santa Cruz da Composi��o 153", "Sorocaba", "SP", "18035-635","61387519220", "986"
"Nicolash", "Rocha", "NicolashFerreiraRocha@fleckens.hu", "7/21/1988", "M", "B+", "Pra�a Jos� Pantaroto 1104", "Birig�i", "SP", "16200-802","96908385043", "389"
"Marina", "Martins", "MarinaFernandesMartins@superrito.com", "6/9/1954", "F", "B+", "Vila Weslian Roriz Quadra I 883", "Bras�lia", "DF", "70636-045","42137112930", "389"
"Gabriela", "Souza", "GabrielaMartinsSouza@superrito.com", "3/17/1954", "F", "O+", "Rua Deyse do Nascimento Weffort 1994", "Londrina", "PR", "86082-096","02592464174", "112"
"Emily", "Costa", "EmilyMartinsCosta@einrot.com", "9/9/1977", "F", "B+", "Rua Ant�nio A. Costa Neves 1384", "Tatu�", "SP", "18270-854","88266399654", "956"
"Erick", "Correia", "ErickFerreiraCorreia@jourrapide.com", "5/31/1987", "M", "O+", "Avenida Dona Maria de Santana Borges 1940", "Uberaba", "MG", "38055-000","70679250611", "986"
"Mateus", "Azevedo", "MateusMeloAzevedo@jourrapide.com", "2/3/1933", "M", "A+", "Passagem Manoel Nogueira 896", "Capanema", "PA", "68701-420","33122184036", "45"
"Thiago", "Pereira", "ThiagoAraujoPereira@superrito.com", "8/23/1952", "M", "O+", "Rua Vinte e Sete 1440", "Ji-Paran�", "RO", "78962-475","24415405800", "231"
"Julian", "Cardoso", "JulianAlmeidaCardoso@armyspy.com", "1/26/1941", "M", "B+", "Alameda Tr�s de Julho 1330", "Aparecida de Goi�nia", "GO", "74944-650","60626518920", "98"
